facility_type,facility_type_key
COMMISARY,0
POULTRY SLAUGHTER,1
GAS STATION/GROCERY,2
Long Term Care,3
Navy Pier Kiosk,4
TEST KITCHEN/ STORAGE,5
Shelter,6
LIQUOR/GROCERY,7
EVENT SPACE,8
Daycare (Under 2 Years),9
GROCERY STORE,10
Mobile Food Dispenser,11
CULINARY SCHOOL,12
EVENT CENTER,13
BREWERY,14
MOBILE FOOD,15
RESTAURANT/GROCERY STORE,16
BUTCHER SHOP,17
ADULT DAY SERVICE,18
GROCERY STORE PLUS WIRELESS STORE,19
Live Poultry,20
Shared Kitchen User (Short Term),21
COFFEE KIOSK,22
CHARTER SCHOOL,23
Bakery,24
ARCHDIOCESE,25
Assisted Living,26
Grocery(Sushi prep),27
Grocery & Restaurant,28
Other,29
CPS (CHARTER),30
Church,31
Hospital,32
Children's Services Facility,33
ROOF TOPS,34
Banquet Hall,35
CUSTOM POULTRY SLAUGHTER,36
CHURCH KITCHEN,37
BANQUET,38
DAY CARE 2-14,39
HOT DOG STATION,40
NUTRITION SHAKES,41
Shared Kitchen,42
GROCERY/TAQUERIA,43
FITNESS CENTER,44
LOUNGE/BANQUET HALL,45
MOBIL FOOD PREPARED,46
CONVENIENCE STORE,47
Restaurant,48
VFW HALL,49
ROOFTOPS,50
LIQUOR STORE,51
COOKING SCHOOL,52
gas station,53
PRIVATE SCHOOL,54
ICE CREAM,55
DINING HALL,56
Mobile Frozen Desserts Vendor,57
CHURCH/SPECIAL EVENTS,58
Shared Kitchen User (Long Term),59
CATERING/BANQUET,60
PUBLIC SHCOOL,61
WRIGLEY ROOFTOP,62
Daycare Combo 1586,63
DISTRIBUTION CENTER,64
AFTER SCHOOL PROGRAM,65
BAR,66
Daycare Night,67
CULINARY KITCHEN,68
LIVE POULTRY,69
Airport Lounge,70
UNLICENSED FACILITY,71
CHARTER,72
GROCERY/RESTAURANT,73
FREE FOOD PANTRY,74
A-Not-For-Profit Chef Training Program,75
Assisted Living Senior Care,76
1023-CHILDREN'S SERVICES FACILITY,77
GROCERY STORE/RESTAURANT,78
TAVERN,79
SUPPORTIVE LIVING,80
STADIUM,81
GAS STATION/MINI MART,82
Wholesale,83
NURSING HOME,84
COFFEE AND/OR DRINKS,85
PASTRY SCHOOL,86
Mobile Prepared Food Vendor,87
OUTREACH CULINARY KITCHEN,88
Bar,89
CHURCH,90
"BUTCHER, DELI",91
Grocery Store,92
RETAIL FOOD,93
BANQUET HALL/CATERING,94
FOOD HALL,95
ROOF TOP,96
private school,97
Pop-Up Establishment Host-Tier II,98
Mobile Vendor,99
Daycare (2 - 6 Years),100
SHELTER,101
WAREHOUSE,102
THEATER,103
cooking school,104
HERBALIFE,105
COMMISSARY,106
Banquet,107
tavern,108
HIGH SCHOOL KITCHEN,109
ADULT DAYCARE,110
youth housing,111
NIGHT CLUB,112
BANQUET HALL,113
GROCERY STORE/COOKING SCHOOL,114
PALETERIA,115
THC INFUSED BAKERY,116
VENDING COMMISSARY,117
CHARTER SCHOOL CAFETERIA,118
Unknown,119
UNIVERSITY CAFETERIA,120
LIVE POULTRY SLAUGHTER FACILITY,121
GAS STATION,122
Hotel,123
RESTAURANT/BAR,124
CHILDRENS SERVICES FACILITY,125
Private School,126
DAYCARE,127
Catering,128
CATERING/CAFE,129
Pop-Up Food Establishment User-Tier II,130
Coffee shop,131
Liquor,132
GAS STATION/RESTAURANT,133
COFFEE SHOP,134
GROCERY/DELI,135
Pop-Up Establishment Host-Tier III,136
FLEA MARKET,137
HERBAL LIFE,138
HOTEL,139
CANDY SHOP,140
TEACHING SCHOOL,141
LIVE POULTRY SLAUGHTER,142
banquets,143
GROCERY STORE/GAS STATION,144
CAFETERIA,145
REHAB CENTER,146
GYM STORE,147
School,148
hair salon,149
Daycare Above and Under 2 Years,150
Mobile Food Preparer,151
FOOD PANTRY,152
ICE CREAM SHOP,153
ASSISTED LIVING,154
RETAIL STORE OFFERS COOKING CLASSES,155
GAS STATION STORE,156
Entertainment,157
DISTILLERY WITH TASTING ROOM,158
GROCERY & LIQUOR STORE,159
MUSIC VENUE,160
1023 CHILDERN'S SERVICES FACILITY,161
STORE,162
coffee shop,163
ROOFTOP,164
RIVERWALK,165
Golden Diner,166
GROCERY/BAKERY,167
KIOSK,168
SUSHI COUNTER,169
SENIOR DAY CARE,170
DAYCARE 2 YRS TO 12 YRS,171
REGULATED BUSINESS,172
donut shop,173
Special Event,174
